title,category,domain,description,more_info,recommended_action,link,apis
CloudTrail To CloudWatch,CloudTrail,Compliance,Ensures CloudTrail logs are being properly delivered to CloudWatch,"Sending CloudTrail logs to CloudWatch enables easy integration with AWS CloudWatch alerts, as well as an additional backup log storage location.",Enable CloudTrail CloudWatch integration for all regions,http://docs.aws.amazon.com/awscloudtrail/latest/userguide/send-cloudtrail-events-to-cloudwatch-logs.html,'CloudTrail:describeTrails'
CloudTrail Bucket Delete Policy,S3,Compliance,Ensures CloudTrail logging bucket has a policy to prevent deletion of logs without an MFA token,"To provide additional security, CloudTrail logging buckets should require an MFA token to delete objects",Enable MFA delete on the CloudTrail bucket,http://docs.aws.amazon.com/AmazonS3/latest/dev/Versioning.html#MultiFactorAuthenticationDelete,"'CloudTrail:describeTrails', 'S3:getBucketVersioning', 'S3:listBuckets'"
CloudTrail S3 Bucket,CloudTrail,Compliance,Ensure that AWS CloudTrail trail uses the designated Amazon S3 bucket.,Ensure that your Amazon CloudTrail trail is configured to use the appropriated S3 bucket in order to meet regulatory compliance requirements within your organization.,Modify ClouTrail trails to configure designated S3 bucket,https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudtrail-update-a-trail-console.html,'CloudTrail:describeTrails'
CloudTrail Global Services Logging Duplicated,CloudTrail,Compliance,Ensures that AWS CloudTrail trails are not duplicating global services events in log files.,Only one trail should have Include Global Services feature enabled to avoid duplication of global services events in log files.,Update CloudTrail trails to log global services events enabled for only one trail,https://docs.aws.amazon.com/IAM/latest/UserGuide/cloudtrail-integration.html,'CloudTrail:describeTrails'
Auto Scaling Group Optimized,Compute Optimizer,Management and Governance,Ensure that Compute Optimizer does not have active recommendation summaries for unoptimized Auto Scaling groups.,"An Auto Scaling group is considered optimized when Compute Optimizer determines that the group is correctly provisioned to run your workload, based on the chosen instance type. For optimized Auto Scaling groups, Compute Optimizer might sometimes recommend a new generation instance type.",Resolve Compute Optimizer recommendations for Auto Scaling groups.,https://docs.aws.amazon.com/compute-optimizer/latest/ug/view-asg-recommendations.html,'ComputeOptimizer:getRecommendationSummaries'
EC2 Instances Optimized,Compute Optimizer,Management and Governance,Ensure that Compute Optimizer does not have active recommendation summaries for over-provisioned or under-provisioned EC2 instances.,"An EC2 instance is considered optimized when all specifications of an instance, such as CPU, memory, and network, meet the performance requirements of your workload, and the instance is not over-provisioned. For optimized instances, Compute Optimizer might sometimes recommend a new generation instance type.",Resolve Compute Optimizer recommendations for EC2 instances.,https://docs.aws.amazon.com/compute-optimizer/latest/ug/view-ec2-recommendations.html,'ComputeOptimizer:getRecommendationSummaries'
Lambda Function Optimized,Compute Optimizer,Management and Governance,Ensure that Compute Optimizer does not have active recommendation summaries for unoptimized Lambda Functions.,AWS Compute Optimizer generates memory size recommendations for AWS Lambda functions. A Lambda function is considered optimized when Compute Optimizer determines that its configured memory or CPU power (which is proportional to the configured memory) is correctly provisioned to run your workload.,Resolve Compute Optimizer recommendations for Lambda functions.,https://docs.aws.amazon.com/compute-optimizer/latest/ug/view-lambda-recommendations.html,'ComputeOptimizer:getRecommendationSummaries'
EBS Volumes Optimized,Compute Optimizer,Management and Governance,Ensure that Compute Optimizer does not have active recommendation summaries for unoptimized EBS Volumes.,"An EBS volume is considered optimized when Compute Optimizer determines that the volume is correctly provisioned to run your workload, based on the chosen volume type, volume size, and IOPS specification. For optimized resources, Compute Optimizer might sometimes recommend a new generation volume type.",Resolve Compute Optimizer recommendations for EBS volumes.,https://docs.aws.amazon.com/compute-optimizer/latest/ug/view-ebs-recommendations.html,'ComputeOptimizer:getRecommendationSummaries'
Compute Optimizer Recommendations Enabled,Compute Optimizer,Management and Governance,Ensure that Compute Optimizer is enabled for your AWS account.,"AWS Compute Optimizer is a service that analyzes the configuration and utilization metrics of your AWS resources. It reports whether your resources are optimal, and generates optimization recommendations to reduce the cost and improve the performance of your workloads.",Enable Compute Optimizer Opt In options for current of all AWS account in your organization.,https://docs.aws.amazon.com/compute-optimizer/latest/ug/what-is-compute-optimizer.html,'ComputeOptimizer:getRecommendationSummaries'
IAM User Account In Use,IAM,Identity and Access management,Ensure that IAM user accounts are not being actively used.,"IAM users, roles, and groups should not be used for day-to-day account management.",Delete IAM user accounts which are being actively used.,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_users_create.html,'IAM:generateCredentialReport'
IAM Username Matches Regex,IAM,Identity and Access management,Ensures all IAM user names match the given regex,Many organizational policies require IAM user names to follow a common naming convention. This check ensures these conventions are followed.,Rename the IAM user name to match the provided regex.,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_users.html,'IAM:generateCredentialReport'
IAM User Unauthorized to Edit,IAM,Identity and Access management,Ensures AWS IAM users that are not authorized to edit IAM access policies are decommissioned.,Only authorized IAM users should have permission to edit IAM access policies to prevent any unauthorized requests.,Update unauthorized IAM users to remove permissions to edit IAM access policies.,https://docs.aws.amazon.com/IAM/latest/UserGuide/access_controlling.html,"'IAM:listUsers', 'IAM:listUserPolicies', 'IAM:listAttachedUserPolicies"
Root Access Keys,IAM,Identity and Access management,Ensures the root account is not using access keys,"The root account should avoid using access keys. Since the root account has full permissions across the entire account, creating access keys for it only increases the chance that they are compromised. Instead, create IAM users with predefined roles.",Remove access keys for the root account and setup IAM users with limited permissions instead,http://docs.aws.amazon.com/general/latest/gr/managing-aws-access-keys.html,'IAM:generateCredentialReport'
Canary Keys Used,IAM,Identity and Access management,Detects when a special canary-token access key has been used,Canary access keys can be created with limited permissions and then used to detect when a potential breach occurs.,"Create a canary access token and provide its user to CloudSploit. If CloudSploit detects that the account is in use, it will trigger a failure.",https://docs.aws.amazon.com/IAM/latest/UserGuide/ManagingCredentials.html,'IAM:generateCredentialReport'
Password Requires Lowercase,IAM,Identity and Access management,Ensures password policy requires at least one lowercase letter,"A strong password policy enforces minimum length, expirations, reuse, and symbol usage",Update the password policy to require the use of lowercase letters,http://docs.aws.amazon.com/IAM/latest/UserGuide/Using_ManagingPasswordPolicies.html,'IAM:getAccountPasswordPolicy'
IAM Support Policy,IAM,Identity and Access management,"Ensures that an IAM role, group or user exists with specific permissions to access support center.","AWS provides a support center that can be used for incident notification and response, as well as technical support and customer services. An IAM Role should be present to allow authorized users to manage incidents with AWS Support.",Ensure that an IAM role has permission to access support center.,https://docs.aws.amazon.com/awssupport/latest/user/accessing-support.html,'IAM:listPolicies'
Password Requires Numbers,IAM,Identity and Access management,Ensures password policy requires the use of numbers,"A strong password policy enforces minimum length, expirations, reuse, and symbol usage",Update the password policy to require the use of numbers,http://docs.aws.amazon.com/IAM/latest/UserGuide/Using_ManagingPasswordPolicies.html,'IAM:getAccountPasswordPolicy'
IAM Role Policies,IAM,Identity and Access management,Ensures IAM role policies are properly scoped with specific permissions,Policies attached to IAM roles should be scoped to least-privileged access and avoid the use of wildcards.,Ensure that all IAM roles are scoped to specific services and API calls.,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_roles.html,"'IAM:listRoles', 'IAM:listRolePolicies', 'IAM:listAttachedRolePolicies', 'IAM:listPolicies"
IAM Policies Present,IAM,Identity and Access management,Ensure that required policies are present in all IAM roles.,Validate the presence of required policies in IAM roles in order to follow your organizations\'s security and compliance requirements.,Modify IAM roles to attach required policies,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_roles.html,"'IAM:listRoles', 'IAM:listRolePolicies', 'IAM:listAttachedRolePolicies'"
IAM Role Policy Unused Services,IAM,Identity and Access management,Ensure that IAM role policies are scoped properly as to not provide access to unused AWS services.,IAM role policies should only contain actions for resource types which are being used in your account i.e. dynamodb:ListTables permission should only be given when there are DynamoDB tables to adhere to security best practices and to follow principal of least-privilege.,Ensure that all IAM roles are scoped to specific services and resource types.,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_roles.html,"'IAM:listRoles', 'IAM:listRolePolicies', 'IAM:listAttachedRolePolicies', 'IAM:listPolicies"
Password Reuse Prevention,IAM,Identity and Access management,Ensures password policy prevents previous password reuse,"A strong password policy enforces minimum length, expirations, reuse, and symbol usage",Increase the minimum previous passwords that can be reused to 24.,http://docs.aws.amazon.com/IAM/latest/UserGuide/Using_ManagingPasswordPolicies.html,'IAM:getAccountPasswordPolicy'
IAM Master and IAM Manager Roles,IAM,Identity and Access management,Ensure IAM Master and IAM Manager roles are active within your AWS account.,IAM roles should be split into IAM Master and IAM Manager roles to work in two-person rule manner for best prectices.,Create the IAM Master and IAM Manager roles for an efficient IAM administration and permission management within your AWS account,https://docs.aws.amazon.com/IAM/latest/UserGuide/id_roles.html,"'IAM:listRoles', 'IAM:listRolePolicies', 'IAM:getRolePolicy'"
